barriers_anthropogenic_id,stream_crossing_id,dam_id,modelled_crossing_id,crossing_source,crossing_type,crossing_name,barrier_status,linear_feature_id,blue_line_key,downstream_route_measure,wscode_ltree,localcode_ltree,watershed_group_code,dnstr_barriers_anthropogenic,observedspp_dnstr,observedspp_upstr,stream_order,stream_magnitude,gradient,watershed_upstr_ha,total_network_km,total_stream_km,total_lakereservoir_ha,total_wetland_ha,total_slopeclass03_waterbodies_km,total_slopeclass03_km,total_slopeclass05_km,total_slopeclass08_km,total_slopeclass15_km,total_slopeclass22_km,total_slopeclass30_km,total_belowupstrbarriers_network_km,total_belowupstrbarriers_stream_km,total_belowupstrbarriers_lakereservoir_ha,total_belowupstrbarriers_wetland_ha,total_belowupstrbarriers_slopeclass03_waterbodies_km,total_belowupstrbarriers_slopeclass03_km,total_belowupstrbarriers_slopeclass05_km,total_belowupstrbarriers_slopeclass08_km,total_belowupstrbarriers_slopeclass15_km,total_belowupstrbarriers_slopeclass22_km,total_belowupstrbarriers_slopeclass30_km,wct_network_km,wct_stream_km,wct_lakereservoir_ha,wct_wetland_ha,wct_slopeclass03_waterbodies_km,wct_slopeclass03_km,wct_slopeclass05_km,wct_slopeclass08_km,wct_slopeclass15_km,wct_slopeclass22_km,wct_slopeclass30_km,wct_belowupstrbarriers_network_km,wct_belowupstrbarriers_stream_km,wct_belowupstrbarriers_lakereservoir_ha,wct_belowupstrbarriers_wetland_ha,wct_belowupstrbarriers_slopeclass03_waterbodies_km,wct_belowupstrbarriers_slopeclass03_km,wct_belowupstrbarriers_slopeclass05_km,wct_belowupstrbarriers_slopeclass08_km,wct_belowupstrbarriers_slopeclass15_km,wct_belowupstrbarriers_slopeclass22_km,wct_belowupstrbarriers_slopeclass30_km,study_area,external_crossing_reference,utm_zone,stream_name,road_name,barrier_result_code,downstream_channel_width,habitat_value_code,consultant_name,image_view_url,reviewer,misc_point_id,my_text,my_priority,my_stream_name,my_road_name,modelled_crossing_id_corr,geometry,easting,northing
7544,NA,NA,4600184,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830645,356562897,1875.4447208018046,300.625474.584724.451535.403402.090273,300.625474.584724.451535.403402.090273,ELKR,"{8443,3120,9469,21444,21443,9484,7642}",NA,{EB},2,3,0.0275,266.9929,7.82,7.82,NA,NA,0,0.95,1.01,0.17,1.68,1.43,0.85,0.01,0.01,0,0,0,0.01,0,0,0,0,0,3.77,3.77,NA,NA,0,0.95,1.01,0.15,1.53,0.13,0,0.01,0.01,0,0,NA,0.01,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,11,NA,NA,NA,NA,NA,"c(650960.590842853, 5522183.8722732)",650960.5908428528,5522183.872273199
9469,NA,NA,4602324,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830645,356562897,150.4974396553792,300.625474.584724.451535.403402.090273,300.625474.584724.451535.403402.090273,ELKR,"{21444,21443,9484,7642}",NA,{EB},2,3,0.0072,266.9929,9.54,9.54,NA,NA,0,2.04,1.01,0.17,2.31,1.43,0.85,0.89,0.89,0,0,0,0.9,0,0,0,0,0,5.49,5.49,NA,NA,0,2.04,1.01,0.15,2.17,0.13,0,0.89,0.89,0,0,NA,0.9,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,12,NA,NA,NA,NA,NA,"c(651854.990072893, 5521136.99981855)",651854.9900728931,5521136.999818546
3127,197564,NA,4602533,ASSESSED,ROUND,NA,BARRIER,706829482,356528119,9964.413734958893,300.625474.584724.478727,300.625474.584724.478727.717020,ELKR,"{1448,8368,1447,1446}","{BT,DV,EB,KO,LSU,MW,RB,RSC,TR,WCT}","{RB,WCT}",3,7,0.0782,769.4676,11.84,11.84,NA,NA,0,0,0.07,1.12,4.42,3.19,0.53,0.33,0.33,0,0,0,0,0,0.24,0.09,0,0,5.73,5.73,NA,NA,0,0,0,1.09,3.75,0.89,0,0.32,0.32,0,0,NA,0,0,0.24,0.09,0,0,elk,4602533,11,Grave Creek,NA,BARRIER,0.1,LOW,IRVINE,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198464,ali,13,NA,NA,NA,NA,NA,"c(661172, 5524451)",661172,5524451
7473,NA,NA,4600094,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830672,356548789,899.702179203613,300.625474.584724.451535.403402,300.625474.584724.451535.403402.090273,ELKR,"{3095,21444,21443,9484,7642}",NA,{EB},3,8,0.1259,821.2228,16.54,16.54,NA,NA,0,1.26,0,1.7,1.41,2.21,2.65,0.14,0.14,0,0,0,0,0,0,0.14,0,0,4.95,4.95,NA,NA,0,1.26,0,1.68,1.4,0.61,0,0.14,0.14,0,0,NA,0,0,0,0.14,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,14,NA,NA,NA,NA,NA,"c(651526.526947117, 5521062.77092059)",651526.5269471172,5521062.770920593
21470,NA,NA,24734895,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830486,356433162,355.6838352401415,300.625474.584724.412090.240087.773806.166492,300.625474.584724.412090.240087.773806.166492,ELKR,"{21471,12716,1548,3257}",NA,{WCT},1,1,0.1192,NA,3.92,3.65,0,0.35,0.28,0.19,0,0.53,2.54,0.29,0.1,1.15,1.16,0,0,0,0,0,0.5,0.66,0,0,3.92,3.65,0,0.35,0.28,0.19,0,0.53,2.54,0.29,0.1,1.15,1.16,0,0,NA,0,0,0.5,0.66,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,15,NA,NA,NA,NA,NA,"c(665759.5705684, 5519984.06012618)",665759.5705683997,5519984.060126177
8423,NA,NA,4601197,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830645,356562897,3181.7462885727036,300.625474.584724.451535.403402.090273,300.625474.584724.451535.403402.090273,ELKR,"{9418,8421,3103,7544,8443,3120,9469,21444,21443,9484,7642}",{EB},NA,2,3,0.035,266.9929,6.51,6.51,NA,NA,0,0,0.66,0.17,1.68,1.43,0.85,0.7,0.7,0,0,0,0,0.66,0.02,0.02,0,0,2.46,2.46,NA,NA,0,0,0.66,0.15,1.53,0.13,0,0.7,0.7,0,0,NA,0,0.66,0.03,0.01,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,16,NA,NA,NA,NA,NA,"c(650118.999108345, 5523094.00292952)",650118.9991083445,5523094.002929524
8509,NA,NA,4601290,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706832006,356553439,7989.327442520298,300.625474.584724.478727.336223,300.625474.584724.478727.336223.743503,ELKR,"{21467,9640,1457,3189}",{WCT},NA,2,3,0.0251,267.0507,4.35,4.35,NA,NA,0,0.13,0.34,0.6,0.29,0.22,0.28,1.15,1.15,0,0,0,0.08,0.34,0.6,0.1,0.04,0,1.29,1.29,NA,NA,0,0.13,0.34,0.6,0.19,0.04,0,1.15,1.15,0,0,NA,0.08,0.34,0.6,0.1,0.04,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,17,NA,NA,NA,NA,NA,"c(659844.939962754, 5516096.96530771)",659844.9399627543,5516096.965307709
9656,NA,NA,4602537,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706832115,356568304,77.76799550392285,300.625474.584724.412090.240087.612329,300.625474.584724.412090.240087.612329,ELKR,"{1548,3257}",NA,NA,2,4,0.0955,873.5782,11.6,11.01,0,2.01,0.59,0,0,1.88,6.79,0.86,0.91,7.86,7.27,0,0,0.59,0,0,1.86,4.43,0.36,0.36,2.79,2.79,0,0,0,0,0,0.05,2.62,0.11,0,2.13,2.13,0,0,NA,0,0,0.05,1.96,0.11,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,18,NA,NA,NA,NA,NA,"c(664466.00847167, 5515012.94486765)",664466.0084716699,5515012.944867652
1560,112353,NA,4606302,ASSESSED,ROUND,Alexander Rd,BARRIER,706831747,356528954,195,300.625474.584724.412090.240087.667860,300.625474.584724.412090.240087.667860,ELKR,"{1548,3257}",NA,NA,3,7,0.1313,619.1752,12.81,12.62,0,1.42,0.13,0.15,0.26,2.17,4.56,1.11,0.05,0.07,0.07,0,0,0,0,0,0,0.07,0,0,5.4,5.4,0,0,0,0.14,0,1.84,3.09,0.29,0.04,0.07,0.07,0,0,NA,0,0,0,0.07,0,0,elk,ALEX066,11,Unknown,Alexander Rd,BARRIER,1,MEDIUM,VAST RESOURCE SOLUTIONS INC.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=112533,ali,19,NA,NA,NA,NA,NA,"c(664632, 5516384)",664632,5516384
21475,NA,NA,24734903,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706831576,356528954,2300.3412453436163,300.625474.584724.412090.240087.667860,300.625474.584724.412090.240087.667860.283925,ELKR,"{12533,8493,8478,1560,1548,3257}",NA,NA,3,5,0.05,376.2049,9.37,9.18,0,1.42,0.13,0.01,0.26,1.96,1.56,1.09,0.01,0.08,0.08,0,0,0,0,0,0.07,0,0,0,2.57,2.57,0,0,0,0,0,1.64,0.64,0.29,0,0.08,0.08,0,0,NA,0,0,0.08,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,20,NA,NA,NA,NA,NA,"c(666173.57173311, 5516981.6965056)",666173.5717331101,5516981.696505597
9419,NA,NA,4602269,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830782,356554558,910.6993969676639,300.625474.584724.462677,300.625474.584724.462677,ELKR,"{9427,13108}",NA,NA,2,2,0.0261,98.2916,4.1,3.34,0,7.92,0.76,0.27,0.56,0.09,0.08,0.24,1.86,1.58,0.82,0,0,0.76,0.26,0.56,0,0,0,0,1.74,0.98,0,7.92,0.76,0.27,0.56,0.09,0.02,0.04,0,1.58,0.82,0,0,NA,0.26,0.56,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,21,NA,NA,NA,NA,NA,"c(653776.963909721, 5520688.99865487)",653776.9639097215,5520688.998654869
21446,NA,NA,24734839,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706832394,356460420,270.0371712777662,300.625474.584724.427766.030001.390415,300.625474.584724.427766.030001.390415,ELKR,"{21448,8574,7645,13109}",NA,NA,2,2,0.0294,32.8016,3.65,3.65,NA,NA,0,0.68,0.52,0.07,0.52,0.12,0.25,0.68,0.68,0,0,0,0.68,0,0,0,0,0,1.68,1.68,NA,NA,0,0.68,0.52,0.02,0.46,0,0,0.68,0.68,0,0,NA,0.68,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,22,NA,NA,NA,NA,NA,"c(651793.007847737, 5515476.58668664)",651793.0078477369,5515476.586686637
12838,NA,NA,4606418,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706829410,356528119,10500.439862884592,300.625474.584724.478727,300.625474.584724.478727.797957,ELKR,"{1450,3127,1448,8368,1447,1446}","{BT,DV,EB,KO,LSU,MW,RB,RSC,TR,WCT}",{WCT},2,3,0.1188,402.8934,5.29,5.29,NA,NA,0,0,0,0.07,2.96,1.36,0,0.04,0.04,0,0,0,0,0,0,0.04,0,0,3.35,3.35,NA,NA,0,0,0,0.07,2.86,0.42,0,0.04,0.04,0,0,NA,0,0,0,0.03,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,23,NA,NA,NA,NA,NA,"c(661656.040760001, 5524408.98276997)",661656.0407600014,5524408.982769968
9640,NA,NA,4602514,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706831469,356553439,6108.563913474478,300.625474.584724.478727.336223,300.625474.584724.478727.336223.566262,ELKR,"{1457,3189}",{WCT},{WCT},3,13,0.0458,1762.8672,23.09,22.83,0,0.52,0.12,1.08,2.71,2.63,2.7,2.92,2.6,1.17,1.18,0,0,0,0.22,0.73,0.05,0.04,0.14,0,8.71,8.58,0,0.52,0.12,1.05,2.71,2.57,1.67,0.58,0,1.16,1.16,0,0,NA,0.22,0.73,0.04,0.04,0.14,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,24,NA,NA,NA,NA,NA,"c(659392.999576829, 5517829.99953183)",659392.9995768291,5517829.999531829
7429,NA,NA,4600041,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706829701,356533147,2740.039955646257,300.625474.584724.485298,300.625474.584724.485298.074097,ELKR,"{8419,9481,7430}",NA,NA,3,18,0.0359,2061.9912,33.19,32.97,0,1.07,0.21,0.75,1.69,4.15,9.22,3.91,3.17,1.1,1.09,0,0,0,0,0.48,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,25,NA,NA,NA,NA,NA,"c(650850.295475427, 5524834.99045441)",650850.2954754268,5524834.990454413
13226,NA,NA,4606895,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706826990,356490729,57.57062819273677,300.625474.584724.529811.778677.142360,300.625474.584724.529811.778677.142360.026912,ELKR,"{7794,7796,12511,10041,12510,21529,3100}",NA,NA,3,7,0.1118,211.2882,5.57,5.39,0,1.32,0.18,0,0,0.09,0.97,1.67,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,0,0,0,0,0,0,0.05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,137,NA,NA,NA,NA,NA,"c(641358.959644731, 5534276.03041633)",641358.9596447307,5534276.0304163275
8569,NA,NA,4601354,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706832469,356476818,2154.511723914379,300.625474.584724.427766.030001,300.625474.584724.427766.030001.390415,ELKR,"{21447,8574,7645,13109}",NA,NA,1,1,0.0242,NA,1.2,1.2,NA,NA,0,1.2,0,0,0,0,0,0.24,0.24,0,0,0,0.24,0,0,0,0,0,1.2,1.2,NA,NA,0,1.2,0,0,0,0,0,0.24,0.24,0,0,NA,0.24,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,26,NA,NA,NA,NA,NA,"c(651338.754841427, 5515356.99503535)",651338.7548414271,5515356.995035349
10263,NA,NA,4603212,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706829861,356533147,4218.792753484575,300.625474.584724.485298,300.625474.584724.485298.246987,ELKR,"{10253,13656,8432,10257,10256,7633,8434,7429,8419,9481,7430}",NA,NA,3,14,0.0766,1422.5305,23.88,23.67,0,1.07,0.21,0.14,0.08,2.38,8.29,3.3,3.06,0.07,0.07,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,27,NA,NA,NA,NA,NA,"c(649404.776728644, 5524837.07196798)",649404.7767286443,5524837.071967981
10243,NA,NA,4603190,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706832718,356562996,723.0084958429212,300.625474.584724.429192,300.625474.584724.429192,ELKR,{13230},"{EB,LNC,LSU,MW,RSC,WCT}",NA,3,5,0.1116,94.8909,5.03,5.03,NA,NA,0,0.02,0,0.06,0.14,0.72,0.55,0.16,0.16,0,0,0,0,0,0.04,0.12,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,28,NA,NA,NA,NA,NA,"c(653739.842824304, 5514168.03254511)",653739.8428243044,5514168.032545109
8443,NA,NA,4601219,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706830645,356562897,1680.947947957891,300.625474.584724.451535.403402.090273,300.625474.584724.451535.403402.090273,ELKR,"{3120,9469,21444,21443,9484,7642}",NA,{EB},2,3,0.0147,266.9929,8.01,8.01,NA,NA,0,1.14,1.01,0.17,1.68,1.43,0.85,0.19,0.19,0,0,0,0.19,0,0,0,0,0,3.96,3.96,NA,NA,0,1.14,1.01,0.15,1.53,0.13,0,0.19,0.19,0,0,NA,0.19,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,29,NA,NA,NA,NA,NA,"c(651122.978572974, 5522085.97440731)",651122.9785729736,5522085.974407311
10257,NA,NA,4603205,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706829861,356533147,3895.4967713083565,300.625474.584724.485298,300.625474.584724.485298.246987,ELKR,"{10256,7633,8434,7429,8419,9481,7430}",NA,NA,3,14,0.0581,1422.5305,24.21,24,0,1.07,0.21,0.14,0.08,2.51,8.49,3.3,3.06,0.09,0.09,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,30,NA,NA,NA,NA,NA,"c(649723.768013096, 5524872.91293952)",649723.7680130964,5524872.912939518
7633,NA,NA,4600314,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706829861,356533147,3700.1840317767733,300.625474.584724.485298,300.625474.584724.485298.246987,ELKR,"{8434,7429,8419,9481,7430}",NA,NA,3,14,0.1041,1422.5305,24.4,24.19,0,1.07,0.21,0.14,0.08,2.58,8.62,3.3,3.06,0.12,0.12,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,31,NA,NA,NA,NA,NA,"c(649918.313443815, 5524868.01512638)",649918.3134438145,5524868.015126379
21458,NA,NA,24734854,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,706832411,356569657,2327.4842511518314,300.625474.584724.427766.030001.284549,300.625474.584724.427766.030001.284549,ELKR,"{21459,21460,8568,21462,8573,3094,13109}",NA,NA,3,5,0.0253,403.8629,11.41,11.39,NA,NA,0,0.79,0.13,0.53,1.47,1.08,0.63,0.47,0.45,0,0,0,0.45,0.03,0,0,0,0,0.45,0.45,NA,NA,0,0.45,0,0,0,0,0,0.45,0.45,0,0,NA,0.45,0,0,0,0,0,elk,NA,11,NA,NA,NA,NA,NA,NA,NA,ali,32,NA,NA,NA,NA,NA,"c(651160.443273069, 5517072.71410864)",651160.4432730685,5517072.714108644
